ID,Character,QuestionTitle,QuestionContent,YesText,NoText,Society1,Financial1,Enviroment1,Society2,Financial2,Enviroment2
1,ui_icon_headshot01,潔淨水,喝好水很重要，政府應該要補助人民安裝淨水設備，讓所有市民都有好水喝！,好喔,不要,1000,-3000,500,-500,0,0
2,ui_icon_headshot01,污水處理,不起眼但很重要，政府一定要多撥款建設、加強污水下水道處理工程呀！,就這麼做,我再想想,2000,-2000,2000,-2000,2000,-2000
3,ui_icon_headshot04,離岸風電,我們應該大舉建設離岸風電，將環保進行到底！,可以,不要,500,-2000,1000,-500,2000,-1000
4,ui_icon_headshot02,綠色創新,研發綠色創新材料要投入大量時間與成本，還是緩緩吧？,好的,不行,-500,1000,-500,1000,-2000,1000
5,ui_icon_headshot01,生態旅遊,動物被關在動物園真是太可憐了，還是觀光保育區好，既能養育生物又能推動生態教育,好的,我再想想,1000,-2000,1000,1000,-1000,-500
6,ui_icon_headshot02,綠建築,工程就是要講求CP值，綠建築什麼的以後再研究吧。,好的,不行,-800,1000,-2000,800,-1000,2000
7,ui_icon_headshot01,包裝減量,東西實用最重要，過多的包裝十分不必要，來推動包裝減量吧？,好喔,不要,0,2000,-2000,0,500,2000
8,ui_icon_headshot01,環保服飾,快時尚太浪費了，舊衣改造都還能穿，還能減少汙染創造新價值呢！,好的,不好吧,1000,-2000,500,0,2000,-2000
9,ui_icon_headshot04,空氣污染,空氣髒到讓人受不了，可以減少燃煤使用和減少工廠運作嗎？,可以,不行,500,-2000,1500,-500,2000,-1500
10,ui_icon_headshot03,有機飲食,應該推廣不使用農藥的有機耕種，可以保護生態，全民也吃得健康～～,就這麼做,我再想想,0,-2000,1500,0,2000,-1500
11,ui_icon_headshot01,綠色消費,農業佔整體碳排放量15%，養牛的排放量又比豬和雞多，應該推動大家少吃碳排放量較高的食物,可以,不要,-2000,-1000,500,0,1000,-500
12,ui_icon_headshot02,吸管,使用原本的吸管就好了，我不認為環保吸管真的很環保,贊成,才不是,0,1000,-500,0,-1000,-1000
13,ui_icon_headshot01,漁業廢棄物,漁業活動讓海洋裡出現廢棄漁網、浮具，需要設立機制將其回收再利用嗎？,好啊,不必要,0,-1000,1000,0,1000,-1000
14,ui_icon_headshot01,漁業資源,漁業資源枯竭，魚群快速的消失，要降低捕撈活動嗎？,可以,不要,-500,-2000,2000,-500,2000,-200
15,ui_icon_headshot02,森林消失,為了有效利用土地，林地面積減少是必要之惡，記得綠化回來就行，是吧？,是的,才怪哩,0,2000,-1000,0,-2000,1000
